2024-04-17 08:59:55,692 - ERROR: Error occurred at 2024-04-17 08:59:55 - TCP IP: 10.68.111.195, Port: 2402, Run: 1, METERID: MET0333. Error:timed out
2024-04-17 09:00:53,486 - ERROR: Error occurred at 2024-04-17 09:00:53 - TCP IP: 10.68.111.181, Port: 2402, Run: 1, METERID: MET0405. Error:timed out
2024-04-17 09:01:13,563 - ERROR: Error occurred at 2024-04-17 09:01:13 - TCP IP: 10.68.111.181, Port: 2404, Run: 2, METERID: MET0405. Error:timed out
2024-04-17 09:01:33,568 - ERROR: Error occurred at 2024-04-17 09:01:33 - TCP IP: 10.68.111.181, Port: 4001, Run: 1, METERID: MET0406. Error:timed out
2024-04-17 09:01:53,575 - ERROR: Error occurred at 2024-04-17 09:01:53 - TCP IP: 10.68.111.181, Port: 4002, Run: 2, METERID: MET0406. Error:timed out
2024-04-17 09:06:29,973 - ERROR: Error occurred at 2024-04-17 09:06:29 - TCP IP: 10.68.111.168, Port: 2402, Run: 1, METERID: MET0337. Error:timed out
2024-04-17 09:06:49,979 - ERROR: Error occurred at 2024-04-17 09:06:49 - TCP IP: 10.68.111.168, Port: 2404, Run: 2, METERID: MET0337. Error:timed out
2024-04-17 09:08:23,964 - ERROR: Error occurred at 2024-04-17 09:08:23 - TCP IP: 10.68.110.109, Port: 2402, Run: 1, METERID: MET0772. Error:timed out
2024-04-17 09:08:44,125 - ERROR: Error occurred at 2024-04-17 09:08:44 - TCP IP: 10.68.110.109, Port: 2404, Run: 2, METERID: MET0772. Error:timed out
2024-04-17 09:11:08,083 - ERROR: Error occurred at 2024-04-17 09:11:08 - TCP IP: 10.68.110.208, Port: 2402, Run: 1, METERID: MET0528. Error:[WinError 10054] An existing connection was forcibly closed by the remote host
2024-04-17 09:11:28,089 - ERROR: Error occurred at 2024-04-17 09:11:28 - TCP IP: 10.68.110.208, Port: 2404, Run: 2, METERID: MET0528. Error:timed out
2024-04-17 09:12:32,963 - ERROR: Error occurred at 2024-04-17 09:12:32 - TCP IP: 10.68.110.138, Port: 2402, Run: 1, METERID: MET0313. Error:timed out
2024-04-17 09:15:43,344 - ERROR: Error occurred at 2024-04-17 09:15:43 - TCP IP: 10.72.191.108, Port: 4002, Run: 2, METERID: MET0400. Error:400 Bad Request: Error: Unexpected response code from device 018302c0f101033c661f932441be6c8b421a8f5c3f81ff2e43905ae100000000005b1338005b133800189f37000000043f7f6d333f75ff823f800000474350000000000042be!
2024-04-17 09:16:03,353 - ERROR: Error occurred at 2024-04-17 09:16:03 - TCP IP: 10.68.110.18, Port: 2101, Run: 1, METERID: MET0454. Error:timed out
2024-04-17 09:16:23,361 - ERROR: Error occurred at 2024-04-17 09:16:23 - TCP IP: 10.68.110.18, Port: 2102, Run: 2, METERID: MET0454. Error:timed out
2024-04-17 09:31:37,141 - ERROR: Error occurred at 2024-04-17 09:31:37 - TCP IP: 10.68.111.217, Port: 2402, Run: 1, METERID: MET0314. Error:400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-04-17 09:43:20,065 - ERROR: Error occurred at 2024-04-17 09:43:20 - TCP IP: 10.68.111.118, Port: 2402, Run: 1, METERID: MET0125. Error:timed out
2024-04-17 09:48:00,921 - ERROR: Error occurred at 2024-04-17 09:48:00 - TCP IP: 10.72.191.209, Port: 4002, Run: 2, METERID: MET0607. Error:timed out
2024-04-17 09:57:22,636 - ERROR: Error occurred at 2024-04-17 09:57:22 - TCP IP: 10.115.16.116, Port: 2402, Run: 1, METERID: MET0538. Error:[WinError 10053] An established connection was aborted by the software in your host machine
2024-04-17 15:02:26,108 - ERROR: Error occurred at 2024-04-17 15:02:26 - TCP IP: 10.68.111.181, Port: 2402, Run: 1, METERID: MET0405. Error:timed out
2024-04-17 15:02:46,113 - ERROR: Error occurred at 2024-04-17 15:02:46 - TCP IP: 10.68.111.181, Port: 2404, Run: 2, METERID: MET0405. Error:timed out
2024-04-17 15:03:06,118 - ERROR: Error occurred at 2024-04-17 15:03:06 - TCP IP: 10.68.111.181, Port: 4001, Run: 1, METERID: MET0406. Error:timed out
2024-04-17 15:03:26,124 - ERROR: Error occurred at 2024-04-17 15:03:26 - TCP IP: 10.68.111.181, Port: 4002, Run: 2, METERID: MET0406. Error:timed out
2024-04-17 15:08:21,513 - ERROR: Error occurred at 2024-04-17 15:08:21 - TCP IP: 10.68.111.168, Port: 2402, Run: 1, METERID: MET0337. Error:timed out
2024-04-17 15:08:41,640 - ERROR: Error occurred at 2024-04-17 15:08:41 - TCP IP: 10.68.111.168, Port: 2404, Run: 2, METERID: MET0337. Error:timed out
2024-04-17 15:10:18,121 - ERROR: Error occurred at 2024-04-17 15:10:18 - TCP IP: 10.68.110.109, Port: 2402, Run: 1, METERID: MET0772. Error:timed out
2024-04-17 15:10:38,127 - ERROR: Error occurred at 2024-04-17 15:10:38 - TCP IP: 10.68.110.109, Port: 2404, Run: 2, METERID: MET0772. Error:timed out
2024-04-17 15:13:36,781 - ERROR: Error occurred at 2024-04-17 15:13:36 - TCP IP: 10.68.110.208, Port: 2404, Run: 2, METERID: MET0528. Error:invalid literal for int() with base 16: ''
2024-04-17 15:18:11,041 - ERROR: Error occurred at 2024-04-17 15:18:11 - TCP IP: 10.72.191.108, Port: 4002, Run: 2, METERID: MET0400. Error:400 Bad Request: Error: Unexpected response code from device 018302c0f1!
