2024-04-17 09:07:05,260 - ERROR: Error occurred at 2024-04-17 09:07:05 - TCP IP: 10.68.110.130, Port: 2404, Run: 2, METERID: MET0517. Error: TimeoutError: timed out
2024-04-17 09:13:53,444 - ERROR: Error occurred at 2024-04-17 09:13:53 - TCP IP: 10.72.191.102, Port: 2402, Run: 1, METERID: MET0487. Error: TimeoutError: timed out
2024-04-17 09:14:08,451 - ERROR: Error occurred at 2024-04-17 09:14:08 - TCP IP: 10.72.191.102, Port: 2404, Run: 2, METERID: MET0487. Error: TimeoutError: timed out
2024-04-17 09:20:44,450 - ERROR: Error occurred at 2024-04-17 09:20:44 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-04-17 09:20:59,516 - ERROR: Error occurred at 2024-04-17 09:20:59 - TCP IP: 10.68.110.99, Port: 2404, Run: 2, METERID: MET0267. Error: TimeoutError: timed out
2024-04-17 09:25:24,369 - ERROR: Error occurred at 2024-04-17 09:25:24 - TCP IP: 10.68.110.100, Port: 2404, Run: 1, METERID: MET0479. Error: ValueError: invalid literal for int() with base 16: ''
2024-04-17 09:36:13,072 - ERROR: Error occurred at 2024-04-17 09:36:13 - TCP IP: 10.68.111.67, Port: 2404, Run: 2, METERID: MET0252. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdffff!
2024-04-17 09:39:53,450 - ERROR: Error occurred at 2024-04-17 09:39:53 - TCP IP: 10.68.111.105, Port: 2404, Run: 2, METERID: MET0469. Error: ValueError: invalid literal for int() with base 16: ''
2024-04-17 15:07:40,145 - ERROR: Error occurred at 2024-04-17 15:07:40 - TCP IP: 10.68.110.130, Port: 2404, Run: 2, METERID: MET0517. Error: TimeoutError: timed out
2024-04-17 15:22:15,800 - ERROR: Error occurred at 2024-04-17 15:22:15 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-04-17 15:22:30,806 - ERROR: Error occurred at 2024-04-17 15:22:30 - TCP IP: 10.68.110.99, Port: 2404, Run: 2, METERID: MET0267. Error: TimeoutError: timed out
2024-04-17 15:35:31,500 - ERROR: Error occurred at 2024-04-17 15:35:31 - TCP IP: 10.68.111.145, Port: 2402, Run: 1, METERID: MET0107. Error: TimeoutError: timed out
2024-04-17 15:36:28,469 - ERROR: Error occurred at 2024-04-17 15:36:28 - TCP IP: 10.72.191.166, Port: 2402, Run: 1, METERID: MET0403. Error: TimeoutError: timed out
2024-04-17 15:38:41,062 - ERROR: Error occurred at 2024-04-17 15:38:41 - TCP IP: 10.68.111.67, Port: 2404, Run: 2, METERID: MET0252. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfffd!
2024-04-18 06:11:35,728 - ERROR: Error occurred at 2024-04-18 06:11:35 - TCP IP: 10.68.110.159, Port: 2404, Run: 2, METERID: MET0485. Error: TimeoutError: timed out
2024-04-18 06:22:14,483 - ERROR: Error occurred at 2024-04-18 06:22:14 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-04-18 06:22:29,490 - ERROR: Error occurred at 2024-04-18 06:22:29 - TCP IP: 10.68.110.99, Port: 2404, Run: 2, METERID: MET0267. Error: TimeoutError: timed out
2024-04-18 06:37:55,553 - ERROR: Error occurred at 2024-04-18 06:37:55 - TCP IP: 10.68.111.67, Port: 2404, Run: 2, METERID: MET0252. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-04-18 15:06:49,431 - ERROR: Error occurred at 2024-04-18 15:06:49 - TCP IP: 10.68.110.130, Port: 2402, Run: 1, METERID: MET0517. Error: TimeoutError: timed out
2024-04-18 15:07:04,443 - ERROR: Error occurred at 2024-04-18 15:07:04 - TCP IP: 10.68.110.130, Port: 2404, Run: 2, METERID: MET0517. Error: TimeoutError: timed out
2024-04-18 15:15:15,266 - ERROR: Error occurred at 2024-04-18 15:15:15 - TCP IP: 10.68.111.47, Port: 2402, Run: 1, METERID: MET0478. Error: TimeoutError: timed out
2024-04-18 15:21:26,927 - ERROR: Error occurred at 2024-04-18 15:21:26 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-04-18 15:21:41,933 - ERROR: Error occurred at 2024-04-18 15:21:41 - TCP IP: 10.68.110.99, Port: 2404, Run: 2, METERID: MET0267. Error: TimeoutError: timed out
2024-04-18 15:33:41,180 - ERROR: Error occurred at 2024-04-18 15:33:41 - TCP IP: 10.68.111.145, Port: 2402, Run: 1, METERID: MET0107. Error: TimeoutError: timed out
2024-04-18 15:34:37,442 - ERROR: Error occurred at 2024-04-18 15:34:37 - TCP IP: 10.72.191.166, Port: 2402, Run: 1, METERID: MET0403. Error: TimeoutError: timed out
