2024-04-17 09:01:14,966 - ERROR: Error occurred at 2024-04-17 09:01:14 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: timed out
2024-04-17 09:15:50,821 - ERROR: Error occurred at 2024-04-17 09:15:50 - TCP IP: 10.68.111.210, Port: 2404, Run: 2, METERID: MET0307. Error: timed out
2024-04-17 09:16:05,828 - ERROR: Error occurred at 2024-04-17 09:16:05 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: timed out
2024-04-17 09:26:34,125 - ERROR: Error occurred at 2024-04-17 09:26:34 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: timed out
2024-04-17 09:26:49,129 - ERROR: Error occurred at 2024-04-17 09:26:49 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: timed out
2024-04-17 09:32:48,248 - ERROR: Error occurred at 2024-04-17 09:32:48 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: 400 Bad Request: Error: Unexpected response code from device fdffdffdfffdffeffdffdf!
2024-04-17 09:32:52,296 - ERROR: Error occurred at 2024-04-17 09:32:52 - TCP IP: 10.68.111.72, Port: 2404, Run: 2, METERID: MET0315. Error: 400 Bad Request: Error: Unexpected response code from device fdffdffffdffff!
2024-04-17 09:35:24,453 - ERROR: Error occurred at 2024-04-17 09:35:24 - TCP IP: 10.67.7.61, Port: 2101, Run: 1, METERID: MET0616. Error: timed out
2024-04-17 09:49:08,615 - ERROR: Error occurred at 2024-04-17 09:49:08 - TCP IP: 10.72.191.236, Port: 2402, Run: 1, METERID: MET0598. Error: invalid literal for int() with base 16: ''
2024-04-17 15:00:48,863 - ERROR: Error occurred at 2024-04-17 15:00:48 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: timed out
2024-04-17 15:07:28,756 - ERROR: Error occurred at 2024-04-17 15:07:28 - TCP IP: 10.68.111.1, Port: 2402, Run: 1, METERID: MET0368. Error: timed out
2024-04-17 15:15:52,617 - ERROR: Error occurred at 2024-04-17 15:15:52 - TCP IP: 10.68.111.210, Port: 2404, Run: 2, METERID: MET0307. Error: timed out
2024-04-17 15:16:07,629 - ERROR: Error occurred at 2024-04-17 15:16:07 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: timed out
2024-04-17 15:27:11,701 - ERROR: Error occurred at 2024-04-17 15:27:11 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: timed out
2024-04-17 15:27:26,813 - ERROR: Error occurred at 2024-04-17 15:27:26 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: timed out
2024-04-17 15:34:38,308 - ERROR: Error occurred at 2024-04-17 15:34:38 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: 400 Bad Request: Error: Unexpected response code from device fdffdffffdfffffdffdffffdffdfff!
